texto;classe
Tô de boas jogando um FIFA aí ele trava, n abre mais. Nunca vi jogo baixado travar, tmnc;negativo
Ai c vai joga um fifa pra distrair e só passa raiva kkkkk q raiva mano;negativo
@globoesportecom Por isso que eu não torço pra seleção da CBF. Qual a necessidade do Taffabosta desmerecer o cara assim ???;negativo
@globoesportecom Estão falando isso aí desde da época do Cristiano Ronaldo...e até agora nada 🤔;negativo
O Cruzeiro ainda incomoda o Taffarel! Um dos motivos do Fábio n ir para a seleção é o fato do preparador de lá ser o taffarel ;negativo
porra de violão, seleção tem que chegar de cavaquinho mermão ;negativo
@schneppel Lembra do drible que Éverton deu no Dedé, deu nó na espinha! O Cristiano Ronaldo, não ganhou uma do Geromel! Dedé não ata a chuteira do Geromel!;negativo
"Resumo da reunião da Fifa com Guerrero:

""(três tapinhas nas costas) posso fazer nada, foi mal aí""";negativo
"5. Se futebol ""de verdade"" já enche o saco, imagina jogo de futebol. Pior é quem só joga FIFA e PES e se acha gamer";negativo
@paulasiqueira_ Fudeu meu FIFA essa merda;negativo
@pandlrcom Quem é que liga pra copa gente? Pelo o amor de Deus;negativo
fifa n liberou o guerrero não?;negativo
Fdsss as saudades que tinha de jogar um fifa e de chegar a casa a esta horinhaaaa;negativo
@lucasinutilismo Vc odeia fifa seu pau no cu KKKKKKKKKKKKKKKKK MAS AMEI;negativo
"@Tsalves_Shuy @MarcelaSSales @EuclidesFla O aprendiz de Técnico na coletiva sábado falou que só liberar Cuellar e Trauco na data FIFA... 
Quando é a data FIFA? Só semana que vem?";negativo
Me segurando pra não comprar a camisa de treino da seleção, puta merda que peita bala;negativo
Tempos atrás minha rua já tava toda pintada. Agora talvez os moradores nem lembram que falta menos de 1 mês pra Copa. Tão nem aí! Talvez mude quando começar mesmo, mas acho que o ânimo em geral do brasileiro com a seleção diminuiu muito.  ;negativo
Cristiano Ronaldo não Serve pra limpar a chuteira desde CRACK DE BOLA ;negativo
To puto pq tite não me chamou pra seleção;negativo
Fui fazer o pedido da minha camisa do Brasil personalizada e o cara falou que a distribuidora não vai entregar antes da copa;negativo
@GaloDoidoFanPag Grhoe e Vanderlei, mereciam demais. Essa seleção é panela pura;negativo
Ganhei 9 partidas e perdi 1 duas pro Felipe no FIFA, é muita habilidade ou ele é fraco mesmo????;negativo
@gmcrf23 Horrível no fifa, n tem moral p falar, perdeu p mulher;negativo
De arrepiar essas reportagens da seleção no jornal nacional;negativo
Puta que pariu eu quero jogar fifa caralho;negativo
Bruma Marquezine foi no show de Thiaguinho com Neymar e pediu pra tirar todas as mulheres solteiras do camarote, que ficasse só casais por causa de ciúme kkkkkkkkkkk fé nas malucas q fala né;negativo
Não sei como a FIFA não puniu o Vasco por extrapolar o limite de jogadores ruins no time. Tem que mandar esses merdas embora para ver se adequa.;negativo
Nunca imaginei que o chato do violão da Seleção era o Alisson. ;negativo
@L11FIFA @YouTube Falou tudo mano.. deixei a weekend league de lado essas semanas, só volto na dlc da copa, sinceramente reclamamos (geral) do Fifa, da EA, mas fazemos pior ainda com nos mesmo..;negativo
Sou brasileiro e quero que a #CopaDoMundo2018 e a seleção VÃO PRA PUTA QUE PARIU!!!;negativo
"Seleção 
Rogério Maia ""A gente observa que cada vez mais é importante estudar as penalidades máximas. A tendência é q cada vez mais as decisões dos campeonatos sejam dessas maneiras. Mas depende de cada batedor tbm""";negativo
Médicos da Seleção explicam os primeiros procedimentos médicos e físicos pelos quais os jogadores estão passando na Granja Comary, em Teresópolis. CBF #CopadoMundo #SeleçãoBrasileira ;negativo
Seleção tá levando um jogador quase contratado pelo Náutico, medo disso ;negativo
"@AlexFrutuoso @tonivasco @LeoBarbosa_94 Amigos, depois de ler o Calil e o Lucas Musetti ontem, comecei a achar que esse negocio de demitir o Jair é tudo barrigada da imprensa... ele nao deve cair até a copa.

Enquanto isso, Arão vindo...";negativo
@VascoJuve @VascodaGama Até concordo que precisam de repreensão, essas brincadeiras em rede social ficam fora de contexto. Mas to só sugerindo uma advertencia, nada muito punitivo. Jogador sempre acaba fazendo besteira online, vide até Neymar.;negativo
Um jogador da seleção vai se machucar e ser cortado da copa. Quem? Paulinho;negativo
"Meu Deus
O Brasil
Preocupado com o pé
Direito do Neymar
Na boa ..... ridículo isso
Kkkkkkkkkk
Mas ele caga e mija igual todo mundo
Putsssss  pra acabar essas coisas";negativo
just hit me que a copa e são joão vão ser mais ou menos no mesmo período;negativo
"Explicando pq não entro no ""clima da Copa"" nem a pau Juvenal em 4 imagens
   
  
   
  #Bandnewsfm #JN #JG #globonews";negativo
"O que os caras no seleção SporTV não fizeram, a turma do Expediente Fox fizeram
Meteram o malho nos jogadores merdas que a torcida já não atura mais porque os caras não respeitaram a torcida";negativo
@yasminsanjos irma é complicado mas logo logo eu to falando igual o cristiano ronaldo tmb;negativo
@wellingcampos @Cruzeiro É um inresponsavel este tal de Taffarel dizer que os goleiros da seleção e melhor do que o goleiro Fábio e uma falta de conhecimento de futebol #fabiomelhorgoleirodobrasil;negativo
@valesca_macedo N sei que buxo VEM COPA;negativo
Queria muito jogar o Inter Saúde , ainda mais com uma seleção dessas, vai ser muito difícil ganhar da gnt;negativo
@poarr quem joga fifa nem é gente;negativo
Fifa encerra investigação sobre doping na seleção da Rússia antes da Copa.  ;negativo
Hoje Carlos so tomou surra no FIFA a tarde inteira;negativo
"Santa Cruz sendo atropelado pelo ABC em casa na Copa do Nordeste...

3-0 só no 1T.

Que fase...";negativo
Caballero ou Armani como titular.? Sergio Romero sofre lesão no joelho e está fora da Copa. Guzmán é convocado ;negativo
infelizmente o plano copa na casa da prometida ficou pra 2022 desta maneira declaro aberta a temporada truvistica;negativo
Torço muito para que a Fifa reconsidere essa pena do Guerrero e libere ele pra ele poder jogar a Copa, Pelo menos..;negativo
Mó medo de usar camisa da seleção durante a copa e acharem que eu sou de direita.;negativo
não vai ter copa na casa da sogra.... nem tinha cogitado a ideia mesmo ;negativo
mano kkkkk eu sonhei que acabei indo na casa do cristiano ronaldo tirar foto com ele e meu snap não tava salvando no nada apareceu o marcelo e eu tirei ainda mais foto com eles, fiquei brincando com o junior e o cristiano disse que eu era mt top com crianças e se queria ser baba;negativo
Todo mundo fora da copa tio pqp;negativo
Mãe de Cristiano Ronaldo quis abortá-lo  ;negativo
@ESPNagora Seleção não são os MELHORES , são os ESCOLHIDOS pelo treinador. Sempre foi assim !!!!!!;negativo
Que o neymar ta de cueca e MEIA ninguem fala... ;negativo
To cagando até pro fifa e cartola q eu me amarrava, to evitando estresse;negativo
@AnaBeat51438116 @EAFIFABR @PortugaPC youtubers não especializados em fifa;negativo
Só esse fifa agora;negativo
"Eles lá ganhando milhões e nem sabem que você existe...............

Professor ganhando o mesmo que o Neymar já!!!1111 ";negativo
@Jhonnydrt @SantaCruzFC Perdi horas incontáveis pelo Santa, hoje nem escuto mais ou vou a jogo. Minhas prioridades são outras e o Santa está fora de minha seleção.;negativo
e saber que conheço uma musica deles do fifa a mtt tempo aaaa que foda;negativo
Sem sogra pra ir assistir a copa,  triste;negativo
Saldos? Ele não é o Neymar ;negativo
"@gv_diamond10 @CR7Brasil ""A Bola de Ouro perdeu valor desde que decidiram entrega-la a Cristiano Ronaldo. Eu não concordo com a ideia de que o melhor do mundo é aquele que marca mais. Ao meu ver o melhor do mundo deve possuir muitas qualidades coletivas e individuais""

- Klopp";negativo
CARAI VEM COPA a gente já esqueceu o 7x1 pode vim ;negativo
"eu me sinto mt desconfortavel vendo essa propaganda da bruna e do neymar LANDJSBH tipo gnt eu entendi q vcs tao transando...... eu n quero estar envolvida nisso mas todo canto q eu olho ta la eles de roupa íntima se pegando
parece um grande iloveputarias só que em escala nacional";negativo
@RomarioOnze Essa época, a seleção não era vendida e nem estava na bolsa de valores para ser negociada.;negativo
merda, neymar voltou p seleção agr só falam dele, isso q me deixa puto;negativo
"o que foi essa propagando da c&amp;a do Neymar e da bruna, aí gente, que casal 💙";negativo
Hahahaha um dos papos mais cansados do mundo é Fábio na seleção;negativo
@rafaeldias_h @camilafbarros Ja estamos indo pra copa e nada dessa parada;negativo
EU ODEIO O FIFA 18 É ISTO;negativo
@Esp_Interativo O Vanderlei! Ele é argentino, por isso não foi pra seleção brasileira;negativo
Fifa não detecta casos de doping em jogadores russo antes da Copa  #LeiaNoSanta;negativo
sempre soube que Cristiano Ronaldo não era ngm ;negativo
@PauloHprr @Selecao_br Infelizmente, mas na camisa do meu time NÃO.;negativo
@vibrantinhotv E outra @vibrantinhotv  , não sei porque a insistência da rádio, fica parecendo que o Fábio tá preocupado ou correndo atrás de seleção!;negativo
Só um fifa em cria — Bora? ;negativo
@tricovo Os dirigentes da CONMEBOL são do mesmo nipe dos dirigentes da FIFA e CBF ou seja não vale nem a critica;negativo
#Mais90 injustiça não leva o Everson pra seleção Everson paredão !!!;negativo
na seleção ele n faz essas graças qr ver na copa ;negativo
@JefersonAndreo2 Qdo há um vácuo no cérebro,  o cara vai buscar qq migalha na vida do jogador e acha que essa notícia importa. O que interessa a gravidez da mãe do Cristiano Ronaldo? Acho que hj nem vou dormir por causa disso!;negativo
"@ericfaria74 Eric, você acha que se todos os jogadores, presentes na copa do mundo, começasse uma campanha; dizendo em que os mesmos, não jogaria a copa, pelo Guerrero. Dessa forma, a FIFA ou os responsáveis poderia ver tal fato, como um protesto. Pois, está muito claro que ELE não fez nada.";negativo
@globoesportecom Que infeliz comparação, isso mostra o quanto são perseguidos os jogadores que atuam no Brasil, nunca terão consideração, nem chance na seleção, perdeu um grande fã Taffarel;negativo
Nem pra ganhar dos rebaixados fifa;negativo
esse ano tem que sair o hexa o meu sonho é ver o Brasil ganhar uma copa do mundo em 2002 eu era um brotinho não me lembro de nada aaaa;negativo
@TiagoLeifert @TheEnemyBR Nada contra o Tiago Leifert, mas o @AndreHenning tem que narrar FIFA!!;negativo
@jhonatalopws so que o cueva nem tem carta no fifa mano alem dessa ai q é baseada somente na seleção;negativo
@Esp_Interativo #Mais90 só discordo do Taffarel o modo covarde de como ele tirou @j1jefferson goleiro @BotafogoOficial da seleção.  Esperaram por uma falha dele para de titular nunca mais ser convocado, sem falar que a seleção nas mãos de dunga era uma zona completa, mas vida que segue.;negativo
Po, a FIFA só tirou o dela da reta?  😔 acho q vai dar bom não pro guerrero;negativo
beleza que a madame fifa fez o Guerrero ir lá na Suíça pra falar “pô, entendo sua decepção mas não podemos fazer nada”;negativo
Fazia uma certa que não jogava um fifa tava até com saudade;negativo
bizarro que a seleção natural ainda não eliminou gente assim;negativo
"@EuclidesFla Como sempre falei. O flamengo é o maior prejudicado.
O flamengo paga em dia e deu o CT pro cara treinar e no final o cara toma o chá no hotel da seleção e no final tenta jogar a copa,pós copa ele vem e pode chutar o flamengo.";negativo
Uma questão surgiu na minha mente na manhã desta terça-feira: a FIFA não chamou a Shakira para cantar a música da Copa da Rússia?;negativo
O mesmo que indicou Muralha pra seleção ;negativo
Comissão técnica promove overdose de exames para evitar lesões na Seleção ;negativo
A pior chatice é esse papo de Fábio na seleção oooo povoo chatoo  todo dia é a mesma coisa;negativo
"@lucaspezzatti Bom, face por face fica bem desgastante. Podiam lançar um focado nisso. Já fizeram algo parecido em algum FIFA anterior.
 ";negativo
"""credo coisa de macho hetero ficar falando de peito de mulher q falta fe bom senso""

...
10min
...

menina cade a mala do neymar que nao tô vendo kkk";negativo
"@vdevitinhos fui te o ps2 qdo saiu de linha, esse ano q consegui um xbox 360 quebrado pra conserta e jogar

bora bebe um nescau e joga um fifa";negativo
Fico tentando entender o Neymar, rico pra disgrama, tem uma mulher só e é apaixonado por ela, e esses homens assalariados que mal tem pra pagar a unha da semana de uma, querendo ter coleção de mulheres, acho é graça;negativo
Este Bernardo Silva é uma personagem. Diz que vai de smart para o estágio da seleção, não admira que sofra de bullying no city;negativo
ESO ES NO QUEREMOS A NEYMAR ;negativo
@mv_br @RoDelAlcazar @EuclidesFla @FIFPro @FIFAcom @FIFAWorldCup @simonkjaer1989 @fifamedia @FFA @FFF @DBUfodbold @PiatFIFPro @MadsOland @thepfa @UNFP @Spillerforening Esta suspenso porque a FIFA/CBF são uma 💩!!!! Só isso....;negativo
ela tinha 17 anos, porra eu tenho 17 anos, cadê meu Neymar ;negativo
@jbfilhoreporter E quem é ele pra falar de seleção?? É um técnico medíocre. Vai criticar Tite?? Só pode ser piada.;negativo
Eu faria o mesmo, e ainda mandava o técnico pra puta que pariu! #JogoMuitoPai  ;negativo
Cristiano Ronaldo oferece mais de R$ 60 milhões para encerrar processo ;negativo
[🇦🇷] O goleiro Argentino Sergi Romero no treino dê hoje, sofreu uma lesão no joelho, que vai deixa-lo de fora da Copa. ;negativo
AGORA: O goleiro Sergio Romero titular da seleção da Argentina, que já atuou em final de Copa está fora da 2018. Foi constatada uma lesão em seu joelho direito. Irá desfalcar a seleção e quem entrará em seu lugar será Nahuel Gúzman. ;negativo
nao vai ter copa;negativo
ate cristiano ronaldo eu lutei pra nao me tornar fa e eu entendia o que ele falava mas nao era br eu nao queria;negativo
#tanaarea O ENDEUSADO TITE ESTA TRANSFORMANDO OS JOGADORES DA SELECAO EM PILOTOS DE AVIAO... TANTAS HORAS DE JOGO, MINUTAGEM   RIDICULO ISSO;negativo
"Fifa sendo Fifa, levando a copa pra quem paga mais. Já sofremos isso no ano de 2014, agora é a vez da Rússia 
◔_◔
";negativo
amassei o Vt no fifa;negativo
juiz passou a perna na gente tomara que agora elas comam o cu dessa seleção ridícula;negativo
2014 a Copa encurtou o Faustão, agora vai tirar Fátima Bernardes do ar e tem gente que tem a coragem de reclamar.;negativo
Bruna Marquezine pede para retirar mulheres solteiras de camarote onde Neymar está ;negativo
@carlitasFLA A chance de jogar a copa acabou de virar pó;negativo
@Interstg1909 Viu como a Fifa não foi enganada!! ;negativo
A globo faz parecer que o neymar vai ganhar a copa sozinho, acho que é por isso que a gente vai perdendo a vontade de torcer pro Brasil 😞 #WorldCup #Russia2018;negativo
Mais uma baixa da copa...dessa vez por lesão ;negativo
Não vão lançar uma música pra Copa?;negativo
@oboneco_ Na teoria não, é regra da FIFA. Mas no Brasil, por exemplo, como ja anunciou a lista final não terá esse problema. Se a Colômbia só anunciar a convocação no dia 04/06 (limite), ele não poderá jogar até lá.;negativo
agora o Neymar tem que escolher um técnico ;negativo
@rodrigol_fc Assim, o FIFA já é, mas não nessa velocidade né?;negativo
Nem parece que esse ano tem Copa;negativo
Na escola vai ter intersseries de vôlei, punhobol e até campeonato de fifa, e futsal não. Q merda é essa ?;negativo
eu tô louca de ansiedade pra copa 🇧🇷;negativo
@Pablo_Peixoto Hahahaha achei melhor do que os caras fazerem um jogo nas coxas e vender a preço cheio. Principalmente q o FIFA 18 já deu uma caída de preço;negativo
Sobre o Futuro Centroavante da Seleção, mesmo sendo Rubro-Negro, vejo o menino Pedro do Flu nesse caminho. #SelecaoSporTv;negativo
"Copa chegando e só lembro de eu, @cintiacosta, @elbugz, @barone, @luizyassuda e mais um povo aí suando nas mídias sociais de marcas que patrocinavam o evento e a seleção.

Foi louco.";negativo
@ritarjbbb17 Independente se foi invejoso ou não ele teve razão, a FIFA teve ano passado e na reunião com o CAS para intervir e não o fez, na verdade ficou contra o jogador, porém, agora com a mobilização quer dar uma de isenta, se ele for liberado outros atletas vão querer o mesmo benefício.;negativo
@Leo_Raphaell Devia, eu nem vi tava jogando FIFA de boa, meu primo me disse;negativo
@gabrieis_ mas ainda assim... o pratto no FIFA é 80 de GER, o Cueva era pra ser no mínimo mais equilibrado, ele tem potencial pra ser bem mais alto, mas 78 é baixo e bem justo com ele;negativo
chamada na globo da copa falando que o messi não tem uma copa pelo seu país, neymar tbm não tem e o critiano ronaldo tbm não, falam isso só pq o messi é argentino;negativo
"conseguiram estragar ate a alegria do brasileiro de usar uma camisa verde e amarelo pra torcer pela seleção

nunca vi uma copa tão morta";negativo
@maugustoadv Não sei nem quem é a seleção;negativo
Guerrero apela a Infantino, mas não consegue liberação da Fifa para Copa  ;negativo
Eu já não iria torcer para a seleção, agora com a declaração do senhor Taffarel sobre o Fábio tomara que não classifique pras oitavas;negativo
@tmaia29 Tem que volta vc e Alison não passa nem sinal de Internet;negativo
Ai mano esses jogadores se machucando todos perto da copa eu fico com uma dó, forças para todos;negativo
"Seleção
Edu Gaspar destaca forma de observação adotada pela Comissão Técnica onde integra clubes e se abrange todas seleções adversárias em potencial. Téc Tite pede que trabalho continue e passa ""dever de casa"" aos observadores.";negativo
Götze pra essa temporada tem a seu favor que enquanto terá uma pré temporada mais longa por conta de não ter ido pra copa.;negativo
Acabei de perder uma partida ridícula no FIFA e são nesses momentos que eu percebo o porque nao daria certo liberar porte de armas no Brasil;negativo
@lirafcb What? No fifa? Pra mim, só tinha sido o Tiago mesmo;negativo
"É SÉRIO ISSO????

SÉRIO QUE VOCÊS TEM A AUDÁCIA DE COMPARAR A SELEÇÃO DE 2002 COM ESSE TIMINHO AÍ???

SÓ RONALDO, RONALDINHO E RIVALDO DESTRUIRIAM ESSA SELEÇÃO ALEMÃ AÍ....

NEGO QUE VOTA EM ALEMANHA DE 2014 CONTRA O BRASIL DE 2002, NÃO MERECE ASSISTIR FUTEBOL NUNCA MAIS ";negativo
"fui falar com minha avó q eu queria assistir a copa na casa da sogra, porém eu n tenho namorado, ai ela me vira e fala ""é, mas vc nao sabe selecionar homem, tem dedo podre até p isso""";negativo
"@MEC_Comunicacao Estou dês de sábado(18/05) tentando complementar minha inscrição no Fies Seleção porém quando eu clico em complemente sua inscrição o site fica fora do ar , já abri demandas mais até agora nenhuma resposta.
Hoje é o ultimo dia de inscrição, por favor me ajude. ";negativo
@gianoddi @plihalespn @maurocezar vamos falar mais da seleção. Vivem reclamado do brasileiro e só falam disso o programa inteiro;negativo
@LuizFCAlmeida Eu não misturo as coisas. R. Caio foi pra seleção pq fez uma boa olimpíada, que foi uma baba, mas ele foi bem. Ficou na seleção pq o Tite é um fazedor de média, tanto é que levou o Geromel sem nem por pra jogar;negativo
Minha mãe vai ter que mandar 4 camisas da seleção brasileira pros eua e eu to preocupada com quem vai ter que levar elas ☹️;negativo
@Fb_Makaveli @Falagomex As pessoas perderam o tesão pela seleção desde a Copa passada.;negativo
essa versão que o #Tite tá fazendo de guru de auto-ajuda pro Itaú é simplesmente intragável. sabendo que o futebol da #Fifa está atolado até as tampas com corrupção, @RedeGlobo tb envolvida, esse papel não cola.;negativo
@_mlkclaudio @TheEnemyBR Eu já tinha visto isso, FIFA não dá uma dentro;negativo
Sergi Roberto tbm não foi a seleção (?);negativo
Cadê o meu Neymar ksksksns;negativo
"César Mourão vai de viagem... Na direção contrária! O desafio é mostrar as origens dos nossos heróis da nação! Não perca a estreia do programa 'Terra Nossa', dia 27 de maio, na SIC.

#SIC25anos ";negativo
A copa tá aí e eu não tenho uma blusinha do Brasil;negativo
quando a pessoa abre a boca pra falar que Cristiano Ronaldo não joga bem ;negativo
"""O Tite tinha que levar o prass só pra pegar pênalti"" essa imprensa paulista é uma piada.. Quem pega pênalti de Messi e Cristiano Ronaldo é o Diego Alves amigo. Na copa do mundo não tem jogador de campeonato Paulista pro Prass pegar pênalti não";negativo
@FIFATRADEBRASIL Porra, só cara que nunca jogou FIFA na vida. Antes fosse o Cocielo.;negativo
chorando com a reportagem sobre o renato augusto no jornal nacional kkkkk eu to muito frouxa porém mesmo questionando ele algumas vezes, ele merece ir pra copa sim;negativo
@rodrigocapelo @atletico @RevistaEpoca Dizem que o Cruzeiro ao fazer o balanço de 2017 não colocou as dívidas com a Fifa, nem com a Minas Arena e nem a antecipação de receitas de 9 mi que o Gilvan confirmou. Você acha que o balanço do Atlético foi melhor elaborado? Está completo? Ou também esconde algumas dividas?;negativo
@Radio98Oficial Sem técnico? Não adianta nem trazer o Neymar;negativo
Neymar ta voltando, que cale a boca de muitos críticos e idiotas..;negativo
Sergio Romero sofre lesão e está fora da Copa do Mundo  ;negativo
@TorcedorUrso A Islândia tem futebol desde 1947 mas só atualmente despontou no futebol participando da Euro de 2016 na França chegando nas quartas eliminada pela mesma e chegou a sua primeira copa em 2018.;negativo
o maluco que chega na concentração da seleção com violão nas costas não foi la pra jogar bola ¬¬;negativo
Romero, goleiro subestimado da Argentina, se lesiona e está fora da Copa. Foi reserva toda a temporada no United e se machuca logo com a Copa na porta;negativo
@carocavaliere @rafaelxeneize Uma pena. Agregaria. Mas a Seleção Argentina tem muitos outros problemas para tratar. Não há um time titular tampouco um modelo de jogo. O cenário é meio sombrio;negativo
churrasco na casa da sogra na copa ja desisti, o bglh é um churrascao com os cria;negativo
Curitiba sendo Curitiba, seleção natural elimina PETEBAS que não resistem ao frio da capital. Rssss... Será que o molusco vai resistir...;negativo
@_bruno_l12 @essediafoilouco Nunca perdeu pro cheiradona, nem no clube, nem na seleção e nem na Itália;negativo
@essediafoilouco Pensei isso hoje. Futebol está muito físico hj em dia. Cr7 e um tanque dorme fazendo adnominal. Enquanto o Neymar estiver jogando videogame com os parcas e poker nunca sera o melhor.;negativo
Hoje eu to mais qhebrado que o fut draft no fifa 18 😂😂😂;negativo
#expedientefutebol Essa votação de melhor seleção é desigual. Quem mexe com twitter não viu os jogadores antigos. Pode cair no mesmo erro da FIFA que fez a votação pela internet e deu Maradona como melhor de todos os tempos, ficaram numa saia justa. É sarna para se coçar.;negativo
@juvemilgrau_ A mídia não deixa de babar ovo do Cristiano Ronaldo nem se ocorrer outro ataque tipo o das torres gêmeas;negativo
"cristiano ronaldo e messi em copa do mundo sao coadjuvantes 

eles nem fazem mta coisa em copa

naum sei pq o pessoal ainda espera alguma coisa deles la";negativo
"Vi agr um video do ultimo jogo do Beckham , e sinceramente não estou preparado para ouvir ""E este vai ser o ultimo jogo da carreira futebolística de Cristiano Ronaldo""";negativo
Te falar so um amigo Agr me mandando msg me chamando pra jogar um FIFA;negativo
@brunovicari vai comessar a m.. todos programas de esporte falando diretamente da granja.Da nojo eles consegue ate narrar treinamento de bobinho fica mais ou menos assim... olha la o neymar tocou para o jesus que tocou para o coutinho q perdeu a bola;negativo
Romero se machucou hoje e está fora da copa que falta de sorte hein;negativo
@bing_fla Tá falando bobagem, cara! O Flamengo ganhou a causa contra o Al Nassr, a FIFA ordenou q eles paguem ou estarão sujeitos a punições, mas eles resolveram enfrentar a FIFA e não pagar.;negativo
O Barcelona perde e a mina consegue envolver o Cristiano Ronaldo puta que pariu KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK;negativo
@RMaciotti Ninguém aqui acredita que um raio cai duas vezes no mesmo lugar, apenas não vê opções de fora do clube capazes de conduzir o elenco no momento. A parada para a Copa nunca foi tão bem-vinda.;negativo
"Não achei a figurinha do Cristiano Ronaldo abrindo pacotinhos, mas consegui uma trocando. Mas não colei ela! 
Aí fui numa lojinha aqui em Pinhais e comprei 2 pacotinhos, abri e... Achei tudo menos ele. Na vida nem sempre ocorre um final feliz, vou colar a que eu troquei mesmo.";negativo
"@JosRicardoRod18 @NanciPerri Veja bem 
O senado aprova uso do FAT,para quitar o calote da Venezuela,
Desempregado tem nome negativado e protestado e a receita perdoa dívida do Neymar 
Tem q perdoar de todo mundo!🤔";negativo
@fred_b12 @TiagoLeifert Bota ele jogar fifa 18 com a narração dele e do caio ribeiro que vai ser uma tortura e não um castigo;negativo
COMO ASSIM LOGO ATRÁS DE NEYMAR????? Gente vcs fazem o q da vida??!!!!!! ;negativo
Aqui na minha cidade não tem empolgação p copa, eu não vou usar a camisa amarela da seleção, por motivos óbvios, sei lá, não tem clima, o momento político cinzento afetou a festa;negativo
depois desse vídeo percebi que a ousadia tá no sangue da bruna não no seu neymar;negativo
@daylimns amo a marquezine, mas neymar não desce, preguiça desse homem.;negativo
Mais um exemplo de como esse esquema da FIFA e do COE, para fazer olimpíadas e copa do mundo é um grande engodo e precisa urgentemente ser revisto. Algumas empresas faturam alto a custa da miséria do povo. ;negativo
@andrizek lesão maior foi do fenomeno e ele chegou lá e ganhou a copa. Neymar não pode usar isso para não chegar bem na copa, ele é um atleta como qualquer outro que se machuca e volta.;negativo
@GalvaniRenan E ele falou alguma besteira? foi muito consciente,sincero e lógico na sua análise. Se eu fosse jogador de futebol profissional tentaria fechar com as duas franquias mas se quisessem exclusividade mesmo pagando menos iria pra o FIFA que tem mais visibilidade mundial.;negativo
@MomentsBrasil @FIFPro @FIFAcom @FIFAWorldCup Este dever usa droga tbm para perde para a fifa libera um drogado oh raça;negativo
@Gabri_Salvati Teoricamente, ele não foi efetivado. Pelo q vi, ele está como interino até a pausa pra Copa, mas tomara q seja efetivado. Não quero ver Luxemburgo nem pintado de ouro.;negativo
"Final de domingo so esse FIFA mesmo

#domingodetremuraSDV";negativo
@UOLEsporte Mas o TAS não tem nada haver com a FIFA então na teoria não adianta de nada !;negativo
