texto;classe
@Esp_Interativo Putinhas do Cristiano Ronaldo!! O cara se aposenta e vcs colocam um gol que ele tomou? Que merda hein.;negativo
Sugestões de zagueiros e laterais que não foram para a copa;negativo
Essa Copa vou acompanhar todos jogos ;negativo
CARALHO COMO ASSiM??? Alguém manda o Neymar colocar uma blusa pelo amor de Deus vai que ele fica doente ;negativo
"@spnferreira infelizmente a seleção está nas mãos de incompetentes e amiguinhos do nosso ""treinador"" quem não reza da cartilha dele está fora ! vide Cássio e outros meias bocas !";negativo
@SantaCruzFC Corrije aí pow, o certo seria : Santa Cruz é humilhado dentro de casa e é eliminado da Copa do Nordeste . Porque foi uma vergonha , lamentável...;negativo
O Brasil nunca mais ganhou uma copa desde a criação do canal irmãos Neto;negativo
Ainda abordou uma parada importante, realmente é muita burrice dos clubes fecharem exclusividade com o pes por dinheiro, a visibilidade do Fifa é enorme, o ideal seria estar nos dois;negativo
@Esp_Interativo Até 15 dias atrás diziam que não servia nem para o spfc, agora, discutem se devia estar na seleção.  Esta é a sempre ponderada e coerente mídia esportiva brasileira. Parabéns aos envolvidos.;negativo
"Nem vale a pena ficar dando moral pra essa comissão técnica arrogante da seleção brasileira. Quem convocou Muralha não tem moral pra falar um ""a"" do Fábio.";negativo
É cada jogador perdendo a Copa que tô começando a ficar com dó deles 😂;negativo
@madurovina Eu fui contigo pra copa semana passada Maria Eduarda nem vem;negativo
@AlisonPalestra @globoesportecom NAO ACHEI O PALMEIRAS PQ ;negativo
@leobrodrigues Esse ex goleiro não convoca nem time de botão quanto mais seleção hahahaha;negativo
@folha Essa candidata Copa do Mundo que só aparece de quatro em quatro anos tem moral para falar porra nenhuma @silva_marina;negativo
"@HelioNogueiraTV POR MIM, O BRASIL NÃO PASSARIA DA 1ª FASE.









Essa corja quer entorpecer o povo com essa palhaçada de futebol, como se esse antro de FIFA e CBF não estivessem atolados até o pescoço em grossas corrupções...




Não tem mais nenhuma credibilidade. Só mesmo sendo gado, pra ""torcer""...";negativo
"Guerrero visita FIFA, mas presidente da entidade diz não poder anular a pena




 ";negativo
A crise que os corruptos colocaram o país e o povo preocupado com o pezinho do Neymar se ele vai jogar bem na copa. ;negativo
Antigamente o povo brasileiro se importava com a Seleção e cornetava. Hoje todos ligamos o foda-se, ninguém quer saber mais. ;negativo
Covardia Copa e festa junina caírem no mesmo período do ano, azar da Copa né?!;negativo
20 dias pra copa do mundo e eu ainda não comprei minha camisa da seleção 😢😢..;negativo
"@FoxSportsBrasil Honestamente.... eu preferiria a seleção sem o Neymar. 




Neymar é aquele jogador muito habilidoso, porém imaturo que pode se deixar ser provocado com facilidade numa partida e acabar prejudicando a seleção em momento crucial.";negativo
@Miltonneves Já q levaram 2 destaques do @ABCFC, aqui se fala é q levarão tb o técnico Ranielle q acabou de levar o time p/semi da Copa NE!;negativo
volta com tv globinho dps da copa que ninguém vai perceber q existiu esses 2 programas de manhã e videoshow com a angelica ;negativo
@fred_b12 Romero HUMILHOU o Palmeiras, Cristiano Ronaldo não;negativo
"olhei a campanha da bruna e do neymar pra C&amp;A e agora não to bem";negativo
@srodrigues2906 @GABRlELPlNHElRO Salienta-se ainda, que em uma analogia tosca “o Neymar é querido por todos, mas não serve pra ser presidente, pois não tem capacidade pra gerir o Brasil”;negativo
"@jairbolsonaro Pela liberdade dos  q são coagidos pelo medo de ida ao trabalho  e o retorno para casa; pelos estudantes q perdem a vida voltando da faculdade e são intimidados por parasitas que assombram a liberdade de ir e vir.Bolsonaro2018!Sua vitória é mais importante que copa para a nação";negativo
Às vezes eu não queria ser tão bom no FIFA como eu sou, pq n da graça de jogar mais com os cara;negativo
O cachaceiro pança de cadela que ja devia ter tomado um bico na bunda sequer aparece. Lógico q esse chinelo fdp já ta em ritmo de copa do mundo combinando churrasco com os parças lá do sul.;negativo
@FrangoFFC Mano a maioria vive de fifa tlg, são viciados. Quando eu perco tendo chance de ganhar fico puto, mas as vezes eu tomo umas goleadas que nem ligo pq o time do cara todo de Legends e além disso jogam demais;negativo
Por que nenhuma mídia tá mostrando a paralisação dos motoristas , quando Neymar quebro a unha só via essa merda de notícia dava vontade de quebra de vdd aquela perna dele ...;negativo
Não sei vcs, mas esse comercial da Bruna e do Neymar me fez ficar um pouco depressiva;negativo
Meus seguidores sabem q eu odeio a seleção de futebol masculina e espero q levem outra goleada p aprender q n é pq eles tem 5 estrelas no peito q são a melhor seleção do mundo. Mas nessa copa eu sei q n vai acontecer outra goleada porém tbm sei q na final o Brasil n chega. Obg;negativo
@globoesportecom Taffarel podia ter nos poupado dessa análise bisonha. Tem mais de 10 anos que o Fábio tem jogado em nível de seleção consistentemente. Nunca vi uma temporada ruim dele. Ou é top ou está fora do gol por lesão. Seu pecado é não ter empresário forte.;negativo
Kkkkk ainda falo q não ia sair nem se a seleção quisesse e se vendeu agr kkkkk ;negativo
#SelecaoSportv desculpa Tafarel, mas acho que faltou argumento pra falar do Fábio. Dizer que o Fábio não está no nível da seleção é brincadeira. Cagou pela boca! Era só falar que ele não tava nas características que os empresários de mídia queria.;negativo
povo fica reclamando q n tem decoração da copa na rua, vai lá e decora então crl;negativo
@RMCF_Gabriel Mas onde tá escrito Cristiano Ronaldo no meu tweet mongol? Não posso achar o Griezmann melhor 7 do mundo pq vc não gosta? Filho da puta, se toca retardado;negativo
Ta vendo, essa é pra voce seu otario que paga seus impostos pra essa corja de safados. Por que o Neymar tem que ser perdoado? Ta errado,sonegador tem que ir pra cadeia. Foda-se a seleção, ela não paga meu salario! ;negativo
As vezes eu olho pra seleção de 2006 e me pergunto como foi possível a gente não ter sido campeão;negativo
@caccarvalho @jdeandradeneto Fale não, abriu mão de 450 mil, e de tentar algo mais na copa NE, não perdeu mas foi o jogo que me deu mais raiva no ano, o 2 foi a invenção contra a Ponte em SP, invenção de 4 laterais.;negativo
Triste notícia, o goleiro Sergio Romero, vulgo @felipeneto, está fora da copa devido a uma lesão;negativo
"Larry Nassar é condenado e soma até 360 anos de prisão. Ex-médico da seleção americana de ginástica recebe sentença de até 125 anos de prisão por abusos sexuais no Condado de Eaton.




SIM, ELE ERA MÉDICO E VESTIA BRANCO!";negativo
"@guilhermesacco Ah, não, não tô colocando este ano na conta não, a lista era só os que foram pra seleção. 




O Adilson nos custou um Brasileiro e duas Libertadores, um arrombado";negativo
nem posso jogar um bocado de fifa para relaxar porque a merda do comando decidiu borrar;negativo
@globoesportecom Deus te livrou desta empresa Fábio, Não vale a pena manchar seu nome vestindo a camisa suja desta empresa, a seleção da CBF tomou de 7 da Alemanha e foi pouco... A armadura Azul estrelada é muito mais honrosa e vitoriosa!;negativo
Gente como assim ??? Que já é ano de Copa....;negativo
Se na copa eu nao for almoçar na casa da sogra eu nao vou nem entender;negativo
Se isso acontecer a culpa é dos esquerdelhos ;negativo
@trovejo_ a gente tinha o Tite como técnico, exemplo de pessoa, nunca mentiu quanto a sua vontade de sair pra seleção, maior da história, Carille nem conheço;negativo
@laubsv que sogra o que, jogos da copa vai ser tudo na minha casa com quentão, pinhão e foda-se, hunf;negativo
@CuriosidadesEU O problema do icardi na seleção é a personalidade dele... infelizmente...;negativo
23 dias pra copa e eu ainda não tô namorando;negativo
@eligarcia01 @labergamim @Luciana35583029 Vamos lá...mais uma vez. Hoje estou com tempo. Em 2000 foi disputado apenas 1 mundial de clubes. Posteriormente a Fifa reconheceu os mundiais interclubes e os seus campeões apartir de 1960. Entre eles o Boca Jrs e não o Real Madrid como a Sra havia postado.;negativo
Thiago Leifert continua como narrador BR no FIFA 19, infelizmente.;negativo
Fora da Copa, Rabiot se recusa a ficar na lista de suplentes da França, diz jornal  ;negativo
Vtnc o presidente da FIFA, não poderia ter dito por telefone que não poderia resolver? Agora encheu varias pessoas de esperança pra nada?;negativo
Tô sem acreditar ainda nessa seleção do EREA Beagá, sem condições umas pessoas ali serem ignoradas. Sei nem o que fazer;negativo
Parece q só o Neymar vai jogar na copa, toda reportagem só mostra ele 😒;negativo
Seleção não é lugar de violão é lugar de Cavaco e pandeiro ;negativo
"olha não é querendo pagar pau pra famoso mas já pagando




essa campanha da bruna e do neymar pro dia dos namo pra c&amp;a ein...









EU TREMI INTEIRINHA";negativo
Deveria ter perguntado ao Tite pq Taffarel é o preparador de goleiros da seleção. O cara já levou Muralha e se acha no direito de falar do Fábio. ;negativo
Cadê o povo de cara pintada, vestindo verde amarelo e batendo panelas na Beira Mar reclamando do preço da gasolina???? Ahhh verde amarelo só na copa agora né. #nãoouçopanelas;negativo
Tou farto do fifa 17 e do pes 18 tenho de comprar outros jogos e nunca mais é setembro pra sair o fifa 19;negativo
@edmilsonpapo10 pau no cu dessa selecao do caralho ali e so grana  o esporte que se foda;negativo
@danillobatista oxe as finais vão ser no meio da copa??? q coisa tosca uma competição tão massa né;negativo
"""Loss comanda o corinthians até a copa""









ATÉ A COPA Ô CARALHO, NÃO VAMOS COMETER OS MESMOS ERROS DE 2016 E TRAZER QUEM NÃO ENTENDE A FILOSOFIA DO CLUBE";negativo
Óbvio, queriam que ele rescindisse o contrato e deixasse a seleção logo agora que está quase a começar o Mundial? Que notícia é esta? ;negativo
O Fábio é maior e não precisa e já joga na seleção;negativo
Sergio Romero sofre lesão no joelho direito e está fora da Copa do Mundo . ;negativo
vou jogar fifa, vou ficar me irritando aqui não;negativo
A copa nem começou e eu já não aguento mais ver o Neymar;negativo
TA LAAAAAAAAA! 1º Top 100 do FIFA 18 veio num momento muito aleatório com um time muito inferior ao padrao nessa epoca do FIFA, 40 nao veio por detalhe, mas eu nao to nem ligando 😊😊😊 ;negativo
minha professora disse que não concorda com FIFA ser considerado um esporte kkkkkkkkvoumatarelakkkkkkk;negativo
@JGPJunior acho difícil, porque não está só nas mãos da Fifa;negativo
Só um fifa pra me tirar desse tédio;negativo
Nesta terça, presidente da FPF e Guerrero se encontram com o pres. da Fifa. Ideia e que punição aconteça só depois da Copa. Capitães de França, Dinamarca e Austrália, adversários do Peru no Mundial, assinaram uma carta pedindo liberacão do atleta. Vamos aguardar @RdMaisEsportes;negativo
@globoesportecom Chamaram o Muralha pra seleção, precisa dizer mais alguma coisa?;negativo
a fifa é pau no cu dms pqp;negativo
O único problema da Copa do Mundo, é que ela dura pouco. #worldcup #WorldCup2018;negativo
"O árbitro que vai apitar a final da @ChampionsLeague traz más recordações a @Cristiano que o vai reencontrar em Kiev. Quem não se lembra da polémica expulsão de @officialpepe e outros lances polémicos no Alemanha-Portugal do Mundial'2014?




";negativo
queria tá que nem o neymar e a bruna marquezine;negativo
Taffarel n disse nenhuma mentira. Fábio tá bem atrás do Grohe, Cássio e até do Vanderlei pra chegar na seleção. ;negativo
@yelssek Oi merda viu, nunca temos sossego, é china, é seleção, agora isso;negativo
"Ontem fui no Mc Donald’s e pedi um Cheddar, o pão veio dos da copa (fizeram errado), vcs não entendem a minha sorte









FICOU INCRÍVEL";negativo
Picarelli só chora no fifa;negativo
como q  eu vo resolver meu problema  se eu so quero assistir a copa na casa do meu problema..;negativo
se o Cristiano  Ronaldo eh tão bom assim pq o Tite não convocou?  kkkk  medíocre..;negativo
@MCrawly_ Vendi meu confederado, precisando de grana e nem tava jogando, esse tal de Fortnite tomou conta do meu sangue... nunca mais joguei FIFA;negativo
Exatamente isso. No meio da temporada. Nem pra esperar um mês pra pausa da copa. ;negativo
@FIFPro @FIFAcom @FIFAWorldCup @fifamedia Se for pra liberar só pra jogar a copa , eu torço pra q não libere , ele caiu no doping pela seleção, o clube , o @Flamengo que é quem tem contrato com ele , quem paga seus salários, quem teve prejuízo financeiro e técnico fica como ? Quem vai pagar ? Vai te fuder FIFA;negativo
@arielpalacios Ariel, porque a seleção argentina não tem negros? Não teve escravidão na Argentina?;negativo
#Arena98 Goleiro titular da Argentina, Sergio Romero sofre lesão no joelho direito e está fora da Copa do Mundo. pra min os hermanos, não passa nem da fase de grupo. Brasil vai ser campeão da copa quer apostar? parem de mimi Fabio e gordo e a igrejinha dele incomoda muita gente.;negativo
eu não acredito que a minha escola tá grudando tweet do neymar em todos os lugares ;negativo
@Leandro_Souza80 @EuclidesFla É mesmo . bando de viados esses caras da FIFA;negativo
@Pedrodasgasdro Nunca vi acontecer algo diferente no fifa;negativo
"@GabrielMP_19 @saveforsacnoth Cara na vida tem coisa que tu não decide, a situação acontece e tu tem que se virar 









FIFA 17 é exatamente igual, te prepara pro mundo";negativo
Seleção é jogo de interesses,depois que convocaram o Afonso Alves é pouco depois ele foi vendido e nunca mais foi convocado eu não tive mais duvidas que convocação de seleção é jogo de interesses #Mais90;negativo
Pra Fifa liberar guerrero vai ser uma pica, porque vai ter que arrumar um puta k.o com o Comitê Olímpico Internacional e os órgãos superiores...  mas a esperança é a última que morre 😑;negativo
Por que é que a vítima parece o Cristiano Ronaldo com ligeiras modificações? ;negativo
@paodelucass @lanchessanches Mas eu vou ta la na copa tbem só n vou assistir;negativo
"@radioitatiaia De costa não vai pra seleção...na copa só @Dedevital..kkkkkk..@FabioGoleiroCEC  é na sala




...";negativo
eu não sei se eu quero ser a bruna pra agarrar o neymar ou o neymar pra agarrar a bruna, pqp vão ser gostoso perto de mim ;negativo
@SuperesportesMG Por estas e por outras  coisas que não torço e nem vejo mais jogos desta seleção.;negativo
"Cade a copa as ferias ahhh 




Não aguebto mais";negativo
taison é seleção, e luan é um cuzão ;negativo
"@tresportes O mais instável e o Jair, o Róger não pode ser avaliado por uma derrota na final do paulista q foi roubado!




O palmeiras e 1 na liberta, 11 pontos no Brasileirão e quase nas 4 da copa do Brasil!




Marcos EUA";negativo
@FoxSportsBrasil Sergi Roberto e bartra nem convocados pra copa foram ..... vergonha essa seleção ai;negativo
Deixem o Will Smith cantar na Copa seus porra, dx o cara, nem conhece o trabalho dele e já fala que prefere a Shakira KKSKSKSKSKSKSKSKS;negativo
Programas esportivos perto de copa vira uma bosta, fica repetindo a mesma coisa sempre sobre a seleção;negativo
Não vou torcer para a seleção só tem franga e gambá. ;negativo
@Record_Portugal Continua as cunhas na seleção, é uma vergonha e falta de respeito;negativo
A FIFA pediu pro Guerrero ir até Zurique pra conversar pra dizer que ela não pode fazer nada????????;negativo
Já começaram a jogar toda a responsabilidade da copa no Neymar para depois ter quem culpar pelo 8x1 ??;negativo
@igordavoglio mas a fifa nao determina a champions...;negativo
"Os russos vão vir CHAPADAÇOS na Copa, e não é por contaminação. Mas eles são o país-sede, o que a FIFA -- o arauto da honestidade -- faz?









O mesmo que o peixe: NADA 🏊🏊🏊";negativo
@AnnWill92 Tô começando a ficar com medo da seleção deitar;negativo
Não achas que o Carlos Oliveira do Barcelos devia estar na seleção — Não conheço bem ;negativo
e vocês ainda reclamando da copa do mundo ;negativo
Pra quem diz que não tem tempo pra ler, uma seleção de contos clássicos da literatura brasileira ;negativo
Tite muito burro nãp convocou nem o cristiano ronaldo nem o messi;negativo
@pldadepressao_ PORRA de violão cadê o cavaquinho e o pandeiro seleção Nutella do caralho, depois sai nas oitavas e não sabe porque;negativo
Que notícia triste. Romero fora da Copa do Mundo ;negativo
copa na casa da sogra? nunca nem vi💔;negativo
@VEJA eu so quero q a seleçao saia nas oitavas. Para o brasileiro si importar mais com os problemas internos. essa seleçao é uma bosta.;negativo
@CornetaGigante mano aqui em SP todas fazem, no Rio Grande em Minas tbm, essa poha começou na copa do mundo... O fato é q só tão julgando um e abafando os outros;negativo
@Calaabocana Neymar não é o nome do time todo??;negativo
"Geuvânio deve ser mais outro desfalque do Flamengo contra o @atletico.




Alem dele devem estar fora, Juan, Rever,Caullar, Guerrero(suspenso pela Fifa) e Rhodolfo.";negativo
O cara é de outro mundo jogando FIFA, tu tá maluco..;negativo
📢 📢Extra! Extra! Saiu novo edital de processo seletivo para trabalhar no Sebrae Nacional, em Brasília. Quer participar? As inscrições vão de 23 de maio a 06 de junho. É só clicar aqui  👉  (Seleção SEBRAE/NA 02/2018) ;negativo
@FoxSportsBrasil Porra vey! Tão acabando com meu pés, fifa e bomba patch.;negativo
"Eis porque é que Messi é sem dúvidas mais jogador de equipa que @Cristiano 




Lá na frente são ambos matadores, mas Messi faz mais falta ao Barcelona do que Ronaldo ao Real. ";negativo
Romero fora da copa, fudeu;negativo
@BarbalhoTiago @PHmaciel @globoesportecom Man, TAS e um tribunal independente man. Pela fifa ele ja tinha pego 6 meses e cumprido os 6 meses. Ai o TAS veio e pediu o aumento da pena;negativo
@globoesportecom Quanto mais pedir jogador pra seleção mais os caras ficam de birra,panela do caralho;negativo
@_gabriel2santos Esse Taffarel era um frangueiro, um dos piores goleiros da seleção da CBF. Pegou uns penaltizinhos aí e já o fizeram de ídolo em uma época de carência de ídolos.;negativo
"@ACMilan_Brasil @calciopedia Não entendo como funciona isso, vejo clubes gastando rios de dinheiro em Neymar e outros jogadores absurdamente caros.




Vejamos se outros clubes na temporada 2018/2019 serão afastados da Liga dos Campeões ou da Liga Europa (que não seja da Itália, acho difícil).";negativo
Nunca vou lidar com a Drussyla na seleção, #VoltaGaray até a Amanda eu prefiro do que a Drussyla. #VoleiNoSporTV;negativo
"Vejo a galera falando de assistir a copa na casa da sogra









Copa é o momento pra gritar e xingar pra Caralho todo lance 









Deixa pra sentar no sofá e fingir que é uma pessoa descente pra outra horakkkk";negativo
@alxngrnj Foi SR e eu tava no meio de um zoológico durante 3 partidas, mas a última eu ganhei e quando mandei mensagem eu já tava no FIFA da paz e do amor;negativo
@KaioVRF @gabifds19 Tentava Marcelo Chamusca que sempre foi um sonho de consumo meu desde fez uma puta campanha com o Salgueiro  na Copa  do Brasil  e tem treinado bem todos Times que assume. Mas sei que vai fica só  no sonho.;negativo
@globoesportecom Isto é regionalismo, se Fábio estivesse em outro clube, fora de Minas, já seria goleiro seleção há muito, mais não há um grande clube em outro estado tão grande quanto ao Cruzeiro, ele não tem nada para provar é simplesmente o melhor.;negativo
"o alisson que não me venha com sertanejo 









seleção é PAGODE porra ";negativo
"Pra galera que gosta de esporte, vocês leem os comentários do @globoesportecom? 









As vezes tomo coragem e me aventuro lá pra baixo, mas nunca tem absolutamente nada que preste









Parece uma agrupação de sociopatas frustrados que por acaso querem ler uma notícia sobre o pé do Neymar ";negativo
"Ainda bem que existem as séries B e C para curtir neste período nojento de Copa.




DETESTO este torneio FIFA onde qualquer idiota que não sabe o que é um impedimento resolve torcer e vestir blusa amarela.";negativo
acordo com a informação que neymar e bruna marquezine trasam com trilha sonora que ela prefere que ele durma sem roupa depois e tudo isso saiu da boca deles. VOCÊS ME PROMETERAM QUE ELES ERAM TIMIDOS;negativo
"#neymar




#neymarjr









devia ser garoto propaganda da 




operadora #oi




e não do #McDonalds 




pq ele cai tanto q parece minha internet #oibosta #oilixo #oitartaruga #oilesma";negativo
"@EAFIFABR @lucasinutilismo Estou vendo o pessoal reclamando e outros chamando os protestantes de burros. Mas vamos analisar. A EA está chamando Youtubers que não são especializados em ""fifa"" para uma copa do mundo de ""fifa"". Nada contra a pessoa que ganhou. Porém, soa estranho em um cenário problemático.";negativo
"""com o Sporting ainda em sobressalto começa hoje a operação russa para o mundial"" ya tem tudo a ver com a seleção, pqp";negativo
"Esse goleiro da seleção ta um arraso😱❤




So vem copa ";negativo
#Fifa #nega #perdão a #Paolo #Guerrero e #mantém #decisão que o #deixa #fora da #Copa ;negativo
@thn13 no carrefour do centro tem e na vendinha colonial bolzan na professor braga tem copa salame e linguiça;negativo
@neivacristina4 Tbm sem nada... Mas acho tbm que pq a Copa esse ano é em outro país e o povo nao tá tão animado assim... Várias coisas😞;negativo
Bastou a preparação para a Copa começar na Granja para a pressão em cima do Neymar já ser absurda. Tá mancando? Vai jogar os amistosos? Se eu fosse ele não leria nada e nem entrava nas redes sociais rs;negativo
#bbdebate A questão da responsabilidade nas costas do Neymar, antes de vir do Tite, vem do próprio Neymar. Ou seja, é uma situação difícil.;negativo
brincaram com a última gosta de esperança que o cara tinha, fifa é uma entidade filha da puta msm, guerrero não merece e não merecia isso;negativo
@duportolima @viverdespenteia Os tempos de seleção pagodeira passaram migo agora é só maiara e maraisa no fone de ouvido;negativo
"Cara, o que é a campanha da bruna marquezine com o Neymar pra C&amp;A p dia dos namorados?";negativo
@globoesportecom A partir do momento q não deu oportunidades reais ao Fábio, sua fala é vazia. Infelizmente a panela da Seleção está cheia. 👊;negativo
"@bthammy @carlitasFLA @CleitonMag @globoesportecom realmente e um ""santo"" afff, cansei, como já desisti desta Copa, para mim o que importa e uma seleção so a do meu Mengão, o resto e resto";negativo
Cadê essa copa que não chega logo;negativo
Os três goleiros não são tão bons, daí o melhorzinho se machuca... Agora deu ruim! 🙇⚽ ;negativo
foi na copa?? — Nem fui ;negativo
@coralnet Só derrocada! Descemos pra série C em 2017, perdemos o campeonato Pernambucano para o nosso maior rival, saímos da copa do Brasil para o gigante Fluminense de feira, perdemos em casa para o Botafogo da Paraíba, saìmos da copa do NE para o Abc de Natal e o que vem mais o frente?;negativo
Ninguém está a superar os 18k do Neymar no sneaker shopping with complex;negativo
@NogZ90 Fala nog, pois e parceiro eu tbm nao tenho cabeca mais para isso, esse fifa peguei so 2 vezes top100 as outras eu sempre começo bem faco 17/0 as vezes 20/01 ai começa a desantar tudo,parece que o time morre as jogadas nao da mais certo negocio e insano;negativo
@IslabaoTiago @andre_gruber @maiconp777 @dioriv Essa do mundial eu achei que a FIFA tinha posto uma pedra em cima, mas não....eles estão muito desesperados...kkkkk;negativo
Copa é mês que vem e eu já desisti de assistir o jogo na casa de uma sogra;negativo
@rafaelreis14 @centraldanacao Neymar nem jogou tudo hein kkkkkkk;negativo
#ExpedienteFutebol comentarista disse que tem duvida emrelação ao futuro do thetche.Mas que ele tem bola pra jogar na seleção? Coerência -0;negativo
"@globoesportecom @TuFPF PQP, O GUERRERO NÃO MERECIA FICAR DE FORA DA COPA!




ESSA INJUSTIÇA NUNCA SERÁ ESQUECIDA!";negativo
Lá vai a globo chupar mais um pouco o Neymar;negativo
Eu queria passar a copa na casa da sogra, mas não quero um namorado(a) só pra isso;negativo
"Não gostei da lista da @CBF_Futebol, não gostei da lista da @DFB_Team_EN, não gostei da lista da @equipedefrance, tão pouco da @selecaoportugal.









Que @FIFAWorldCup vai ser essa? #WorldCup";negativo
"Aliás, eu procurei à exaustão essa suposta declaração do Klopp sobre o Cristiano Ronaldo e não achei em lugar nenhum. 









Tem que ser muito escroto para ficar inventando essas merdas.";negativo
@NickRyuka @vinichavozo @TioOrochi Né, quem gosta de mulher é sapatao homem gosta é de jogar FIFA com os brodi sem ter perigo de quebrar o coração;negativo
@MarcioSaOffice @rodrigol_fc Tente reunir 10 motivos pra comprar o próximo fifa e falhe miseravelmente;negativo
Curioso que eu nao entendi quando na seleção de 2000 tinha jogadores do Roda e nao do Espanyol. É a preferencia. ;negativo
"A garota da Copa - 









Jornalista lembra choro no 7x1 e fala sobre assédio e preconceito.









#ChegadePreconceito ";negativo
Em se confirmando a eliminação do Santa Cruz diante do ABC, será a primeira vez que o futebol pernambucano não terá nenhum representante nas semifinais da Copa do Nordeste desde 2013.;negativo
@Urubucam Vcs não entenderam ainda que a PUNIÇÃO não foi a FIFA que deu? E que a FIFA não tem poder de revogar uma PUNIÇÃO?;negativo
Eles ainda nem chegaram a presidência da FIFA e já estão querendo mandar. ;negativo
Berrío ta dando um trabalho terrível no fifa kkkk;negativo
Quando acabava a copa pocava e fazia de rabiola kkkk ;negativo
@FIFPro @FIFAcom @FIFAWorldCup @fifamedia Se for pra jogar só a copa , alô FIFA não libera . E o @Flamengo quem vai pagar os prejuízos? Quem vai indenizar o clube ? Ele foi dopado pela seleção, liberar pra ela será a maior vergonha dessa entidade. NAO LIBERA PRA SELEÇÃO.;negativo
