text;created_at;coordinates;retweet_count;favorite_count;screen_name;location;lang;followers_count;geo_enabled;statuses_count;lat;long;hashtags
"RT @net_science: ""Geoplotlib: a Python Toolbox for Visualizing Geographical Data. (arXiv:1608.01933v1 [cs.GR])""  https://t.co/8Rfr4JetIO";Mon Aug 08 19:01:10 +0000 2016;;0.0;0.0;jakobeglarsen;Copenhagen, Denmark;en;919.0;False;2857.0;55.6867243;12.5700724;
Talking with Dr. Gabby gave me the motivation that I needed to light the spark in my business again #womeninwellness https://t.co/O2HIZ1zfJw;Mon Aug 08 19:01:11 +0000 2016;;0.0;0.0;GabrielleTV;Miami, FL;en;6258.0;False;5142.0;25.7742658;-80.1936588;#womeninwellness
Israel’s Latest Weapon Against Lone Terrorists: Big Data Analytics https://t.co/fHzIcz2q4a;Mon Aug 08 19:01:14 +0000 2016;;0.0;0.0;StaffBuzz;Tampa Bay Area;en;349.0;False;5232.0;27.89805;-82.5190599;
RT @DarcieSouthern: that is no Python baby https://t.co/rssGgThnPM;Mon Aug 08 19:01:15 +0000 2016;;0.0;0.0;TheMoroccan__;London;en-GB;64.0;False;3117.0;51.5073219;-0.1276473;
RT @IMJAMESKELLER: Digital Marketing Driven by Cloud, Big Data and IoT https://t.co/RRatjNSs81 https://t.co/Z6QNJFkBhV;Mon Aug 08 19:01:19 +0000 2016;;0.0;0.0;KruxDigital;San Francisco & New York;en;15273.0;True;6227.0;15.1851699;120.5835707;
Join the Envision team! See our latest #job opening here: https://t.co/qCrweKaraN #Python #CherryPie #SaaS MO - https://t.co/A1InoK13KQ;Mon Aug 08 19:01:20 +0000 2016;;0.0;0.0;EnvisionJobs;Saint Louis, Missouri;en;112.0;True;297.0;38.6272733;-90.1978888;#job #Python #CherryPie #SaaS
Addressing Big Data Concerns Through Anonymization #Fujitsu https://t.co/Vo03bze0Jv via @cloudtweaks;Mon Aug 08 19:01:24 +0000 2016;;0.0;0.0;fujitsulabs;Sunnyvale, CA;en;719.0;False;1319.0;37.3688301;-122.0363495;#Fujitsu
Check out the EXACT 11 items we found after testing dozens that brought a spark back to our bedroom! https://t.co/qAFUNei2KL;Mon Aug 08 19:01:26 +0000 2016;;0.0;0.0;TonyMDilorenzo;San Diego, CA;en;3437.0;False;21472.0;32.7174209;-117.1627713;
Big Data And The Emergence Of The Chief Data Officer  https://t.co/cHK6ysvjgF  #Opines on #BigData;Mon Aug 08 19:01:34 +0000 2016;;0.0;0.0;seovalencia;Valencia, España;es;19428.0;True;16962.0;39.4699014;-0.3759512;#Opines #BigData
"#meetup: Scale-out #DataScience on #Hadoop with @ApacheHAWQ and @hortonworks because... size matters ;) https://t.co/6NO1G3YYLY";Mon Aug 08 19:01:35 +0000 2016;;0.0;0.0;DormainDrewitz;San Francisco Bay Area;en;736.0;True;2199.0;37.7884969;-122.3558472;#meetup: #DataScience #Hadoop
RT @KinoLorberEdu: A new educational edition of #JustGender for high schools to spark discussions on the transgender experience. Book @ htt…;Mon Aug 08 19:01:37 +0000 2016;;0.0;0.0;IlanaDevazier;New York, USA;en;1751.0;False;35955.0;40.7305991;-73.9865811;#JustGender
4 Benefits of Big Data for Ecommerce Owners and Shoppers - Smart Data Collective https://t.co/NHCzKb5HAg #bigdata … https://t.co/fdNz44Xs5X;Mon Aug 08 19:01:46 +0000 2016;;0.0;0.0;formfeuer;Deutschland;de;983.0;False;33243.0;51.0834196;10.4234469;#bigdata
Don't let your spark go out 🎆 https://t.co/IL7Cgq2tGO;Mon Aug 08 19:01:48 +0000 2016;;0.0;0.0;AmazingZane_;Tazewell;en;634.0;True;11063.0;40.5126429;-89.5442083;
"RT @Protegrity: #Bigdata vs. #privacy: the big balancing act - secure the data!
https://t.co/Usfj8KUong via @sharethis";Mon Aug 08 19:01:52 +0000 2016;;0.0;0.0;SASAcademicCA;Canada;en;1153.0;False;2009.0;61.0666922;-107.991707;#Bigdata #privacy:
Our last SPARK is Wednesday at the Fentress's, 6 - 8pm. See you there!;Mon Aug 08 19:02:01 +0000 2016;;0.0;0.0;SSMstudents;San Angelo, TX;en;30.0;False;153.0;31.4319925;-100.454579665498;
@ChaseVsEvrythng therefore I create to make something beyond the words I can articulate, to spark the thought of curiosity.;Mon Aug 08 19:02:03 +0000 2016;;0.0;0.0;psbravery;California, USA;en;156.0;False;1111.0;36.7014631;-118.7559973;
#BigData Developers required in Dublin. Brand new #Tech #StartUp #Java #Hadoop #IoT #MachineLearning https://t.co/M7wbTxHeQF;Mon Aug 08 19:02:03 +0000 2016;;0.0;0.0;pfinane;Dublin, Ireland;en;6843.0;True;23931.0;53.3497645;-6.2602731;#BigData #Tech #StartUp #Java #Hadoop #IoT #MachineLearning
"New year, new race, new time to shine! Don’t miss our future innovators spark a change! #IceboxDerby #HelpGirlsShine
https://t.co/IImj6pYkjS";Mon Aug 08 19:02:04 +0000 2016;;0.0;0.0;ComEd;Chicago, IL;en;17928.0;True;25173.0;41.8755546;-87.6244211;#IceboxDerby #HelpGirlsShine
Why limiting beliefs keep you stuck - and how to shift them so you can reignite your spark for life https://t.co/0piPZT3QSB;Mon Aug 08 19:02:08 +0000 2016;;0.0;0.0;Legacy4Latinas;Danbury, CT;en;169.0;False;4410.0;41.394817;-73.454011;
Queenslands New Smoking Ban Laws Spark Increase In People Looking to Quit https://t.co/cTC58l64nj https://t.co/DzS7o3QmI8;Mon Aug 08 19:02:12 +0000 2016;;0.0;0.0;raleighnewsnow;Raleigh;en;242.0;False;54794.0;35.7804015;-78.6390778;
SPARK Scholar Jean Yasis - architect of an amazing lentiviral vector to enable visualization of myoblasts and MSCs https://t.co/SO6N7eh6dF;Mon Aug 08 19:02:22 +0000 2016;;0.0;0.0;yggdrasil13751;Davis, CA;en;1535.0;False;16857.0;38.545379;-121.7445834;
RT @techjunkiejh: #SQL engines boost #Hadoop query processing for #bigdata users https://t.co/fFKqcCahNA https://t.co/x6bLVO3lui;Mon Aug 08 19:02:26 +0000 2016;;0.0;0.0;NicolasPeycru;Paris;fr;3739.0;False;6729.0;48.8566101;2.3514992;#SQL #Hadoop #bigdata
A Career in Data Science: Bob Rogers, Chief Data Scientist, Intel https://t.co/5vdXFuOHD8;Mon Aug 08 19:02:27 +0000 2016;;0.0;0.0;MikeMcCrady2;Peachland, BC, Canada;en;569.0;False;2087.0;49.766667;-119.7499999;
Who Is Responsible For Your Company's Big Data? - https://t.co/PEuN5IaIrF;Mon Aug 08 19:02:27 +0000 2016;;0.0;0.0;saidmaadan;Austin, TX;en;349.0;True;16865.0;30.2711286;-97.7436994;
"RT @daveowhite: ""The psychogeography of learning spaces"" by @ComoSilke, Richard Reynolds and me in @ualspark https://t.co/T26vf6KTYv";Mon Aug 08 19:02:34 +0000 2016;;0.0;0.0;leoappleton;Essex, London, Liverpool;en;850.0;True;14228.0;53.3867357;-2.969576;
4 Benefits of Big Data for Ecommerce Owners and Shoppers - Smart Data Collective https://t.co/MAzKzGZIRl;Mon Aug 08 19:02:38 +0000 2016;;0.0;0.0;ProjectAnalysis;Chester, UK;en;1363.0;False;28692.0;53.1908873;-2.8908954;
@SafeLogic_Walt @bmkatz @bbelding  #futurebiz 20% of $2.5B budget earmarked #IT, must be something to discuss :-)  https://t.co/onN8GUgtmS;Mon Aug 08 19:02:38 +0000 2016;;0.0;0.0;efeatherston;Burlington, MA;en;2699.0;True;20946.0;42.5048167;-71.195611;#futurebiz #IT,
RT @PythonWeekly: albatross - A modern, fast, simple async python3 web framework. https://t.co/O2gsX0z4GH #python;Mon Aug 08 19:02:45 +0000 2016;;0.0;0.0;eduardostalinho;Rio de Janeiro, Brazil;pt;229.0;True;2073.0;-22.9110136;-43.2093726;#python
RT @tressiemcphd: So if I don't want to talk to Lev I need to never learn Python? Am I doing this right?  https://t.co/YjbWd3siiv;Mon Aug 08 19:02:46 +0000 2016;;0.0;0.0;celeste_sharpe;Minnesota, USA;en;624.0;True;2478.0;45.9896587;-94.6113287;
#Deals #USA #ebay #2385 TC Electronic Spark Mini 20dB Boost https://t.co/P4ptErMFE7 https://t.co/JsHGburafF;Mon Aug 08 19:02:47 +0000 2016;;0.0;0.0;ijdjuuuidid;United States;en;24.0;False;12698.0;39.7837304;-100.4458824;#Deals #USA #ebay #2385
Data Science for Internet of Things methodology - Evolving CRISP-DM - Part One  -on Data Science Central: https://t.co/BsPpguqH7z;Mon Aug 08 19:02:50 +0000 2016;;0.0;0.0;dbaManny;Greater Los Angeles;en;1030.0;False;871.0;-37.7935671;144.9579856;
Sometimes the black community becomes a dead zone, where growth is limited but all it takes is a small spark to change that #BeThatSpark;Mon Aug 08 19:02:54 +0000 2016;;0.0;0.0;MakoCapone;Compton;en;1097.0;True;18702.0;33.8948824;-118.2260433;#BeThatSpark
"RT @_Goldenwolf_: Oh hiya! We've just put up a load of BTS stuff from our latest Nike project over on Behance!
https://t.co/NQRp8PMkhf http…";Mon Aug 08 19:03:05 +0000 2016;;0.0;0.0;echolab_dot_tv;Dublin / Los Angeles;en;1293.0;True;3476.0;34.0150296;-118.3222281;
Cisco Spark vs. Slack. Which is better for your business: https://t.co/OxZI2LNT6g;Mon Aug 08 19:03:08 +0000 2016;;0.0;0.0;CWPSConnect;Chantilly, VA;en;720.0;True;3148.0;38.8943792;-77.4305117;
Remember the Past and Predict the Future: Applying Big #Data Solutions https://t.co/pGX68BM3w2;Mon Aug 08 19:03:16 +0000 2016;;0.0;0.0;AllenYuhas;Alpharetta, GA;en;58.0;False;416.0;34.0709576;-84.2747328;#Data
RT @craigbrownphd: Sponsor: A new way to think about big data analytics →: Join MIT on an online certificat... https://t.co/ATRlBePMCN #Dat…;Mon Aug 08 19:03:17 +0000 2016;;0.0;0.0;vivavastl;Orlando, USA ;en;21.0;False;194.0;28.5421175;-81.3790461;#Dat…
"Did you know that ApacheAurora cassandra Hadoop apachekafka ApacheMesos ApacheSpark stormprocessor + Thrift power Uber's tech stack?

Did y…";Mon Aug 08 19:03:30 +0000 2016;;0.0;0.0;jocelyndrean;Nantes, France;fr;37.0;False;139.0;47.2186371;-1.5541361;
#NowPlaying Monty Python - Tour of the Classic Silbury Hill Theatre on https://t.co/dgnAHM35PY;Mon Aug 08 19:03:30 +0000 2016;;0.0;0.0;regal_radio;Bathgate West Lothian;en;1298.0;False;23803.0;55.8985334;-3.640159;#NowPlaying
Oito dicas para impulsionar negócios a partir do uso de Big Data - Computerworld: ComputerworldOito dicas par... https://t.co/fsvHe3kEqk;Mon Aug 08 19:03:30 +0000 2016;;0.0;0.0;hmr1973;brasil;en;1781.0;True;191614.0;-10.3333332;-53.1999999;
RT @DarcieSouthern: that is no Python baby https://t.co/rssGgThnPM;Mon Aug 08 19:03:41 +0000 2016;;0.0;0.0;Harrypassman;Hartlepool, England,Stephen St;en;51.0;False;25.0;54.6895888;-1.226632;
"RT @StarPlus: .@iHrithik doubles the fun, masti and dance! Catch him spark the stage on #DancePlus2, This Sat-Sun at 8 PM.
https://t.co/4gE…";Mon Aug 08 19:03:45 +0000 2016;;0.0;0.0;simuu_sharma;Punjab, India;en;49.0;False;6157.0;30.9293211;75.5004841;#DancePlus2,
Burn the talent churn using Big Data - The Globe and Mail https://t.co/3UKi8GokZn #BigData;Mon Aug 08 19:03:46 +0000 2016;;0.0;0.0;66owls;Dundee, UK;en;2922.0;False;9893.0;56.4593653;-2.9735212;#BigData
Sr Python Software Engineer Vacation Rentals Team Jobs in Boston, MA #Boston #MA #jobs #jobsearch https://t.co/mNUMbD4HgT;Mon Aug 08 19:03:57 +0000 2016;;0.0;0.0;jobfindlypython;United States;en;965.0;False;94506.0;39.7837304;-100.4458824;#Boston #MA #jobs #jobsearch
RT @DarcieSouthern: that is no Python baby https://t.co/rssGgThnPM;Mon Aug 08 19:03:58 +0000 2016;;0.0;0.0;P_I_Brierley;Urmston, England;en;172.0;False;2258.0;53.4453662;-2.3525462;
How to Close the Big Data Talent Gap at Your Organization - https://t.co/QPvE1kmHUu;Mon Aug 08 19:04:00 +0000 2016;;0.0;0.0;SearchMovers;San Francisco, CA;en;120.0;False;745.0;37.7792808;-122.4192362;
shhh Python gang here... — u snake https://t.co/HBWEwyuylJ;Mon Aug 08 19:04:03 +0000 2016;;0.0;0.0;LeilaKaii;Ldn;en;236.0;False;5514.0;50.10649545;14.4009095531094;
@sullivanamy @KatyTurNBC Right! But except for the roads, the sewers, the education, what have the Romans ever done for us? #Python;Mon Aug 08 19:04:11 +0000 2016;;0.0;0.0;costellooooo;United States;en;20.0;False;534.0;39.7837304;-100.4458824;#Python
More Companies Turn to Machine Learning to Leverage Analytics https://t.co/Sz8CqcnBlj;Mon Aug 08 19:04:14 +0000 2016;;0.0;0.0;SienaIdea;São Carlos, São Paulo, Brasil;en;82.0;True;2928.0;-22.0183366;-47.8909319;
RT @tressiemcphd: So if I don't want to talk to Lev I need to never learn Python? Am I doing this right?  https://t.co/YjbWd3siiv;Mon Aug 08 19:04:23 +0000 2016;;0.0;0.0;reneemc;Ridgewood, Queens;en;573.0;False;17191.0;40.7080556;-73.9141666;
There are a lot of men on Twitter determined to have you believe that humour died with Monty Python.;Mon Aug 08 19:04:24 +0000 2016;;0.0;0.0;Cuphook801;Edinburgh, Scotland;en-gb;24.0;False;410.0;55.9495628;-3.1914971;
I saw a spark between Ronnie and Andy! Potential affair?! #Eastenders @bbceastenders;Mon Aug 08 19:04:26 +0000 2016;;0.0;0.0;SoSweetLouWest;Glenrothes, Scotland;en;8231.0;True;21839.0;56.1961905;-3.1716323;#Eastenders
Talend CEO sees gains to come from big data - The Columbian https://t.co/3HsSJp2t2l;Mon Aug 08 19:04:34 +0000 2016;;0.0;0.0;jimkaskade;Woodside, CA;en;2319.0;True;28399.0;37.4299388;-122.2538556;
RT @DarcieSouthern: that is no Python baby https://t.co/rssGgThnPM;Mon Aug 08 19:04:34 +0000 2016;;0.0;0.0;poweredupacman;Earth;en;266.0;False;6286.0;34.2331373;-102.4107492;
RT @PythonWeekly: albatross - A modern, fast, simple async python3 web framework. https://t.co/O2gsX0z4GH #python;Mon Aug 08 19:04:35 +0000 2016;;0.0;0.0;cool_python;Brighton & Hove, UK;en;408.0;False;14004.0;50.84522125;-0.149758405411392;#python
4 Benefits of Big Data for Ecommerce Owners and Shoppers - Smart Data Collective https://t.co/o6JObk1Tx9;Mon Aug 08 19:04:36 +0000 2016;;0.0;0.0;jimkaskade;Woodside, CA;en;2319.0;True;28400.0;37.4299388;-122.2538556;
"RT @Greenpeace: Could big data, wind &amp; solar transform our access to energy? https://t.co/rU0fKzdt51 https://t.co/t9pf15YkVD";Mon Aug 08 19:04:53 +0000 2016;;0.0;0.0;jeezecat;California;en;126.0;False;9558.0;36.7014631;-118.7559973;
4 Benefits of Big Data for Ecommerce Owners and Shoppers – Smart Data Collective https://t.co/eMeBPNfWWp;Mon Aug 08 19:04:54 +0000 2016;;0.0;0.0;ecommercenewshq;Connecticut;en;442.0;False;39609.0;41.6500201;-72.7342162;
RT @craigbrownphd: Sponsor: A new way to think about big data analytics →: Join MIT on an online certificat... https://t.co/ATRlBePMCN #Dat…;Mon Aug 08 19:04:56 +0000 2016;;0.0;0.0;_RafaD83;Sun city;en;27.0;True;3428.0;-25.344507;27.09404;#Dat…
"Notice of NIAID's Participation in RFA-MD-16-002 ""NIH #BigData to Knowledge (BD2K) Enhancing Diversity in ... https://t.co/2jw0vSlvlk";Mon Aug 08 19:04:57 +0000 2016;;0.0;0.0;govtraqfed;Portland, OR;en;90.0;False;41625.0;45.5202471;-122.6741948;#BigData
How to evaluate Data Science models? #measure #analytics #datascience #bigdata https://t.co/u1SA0rSi8a;Mon Aug 08 19:05:00 +0000 2016;;0.0;0.0;jonnylongden;Leeds, England;en;17742.0;False;8174.0;53.7974185;-1.543794;#measure #analytics #datascience #bigdata
"These Glitches Will Spark Your OCD - Don't Open If You Have OCD Like ""Monk"" https://t.co/CwUkyCLWR9";Mon Aug 08 19:05:03 +0000 2016;;0.0;0.0;Vericazon;New York, USA;en;9241.0;False;1415.0;40.7305991;-73.9865811;
RT @DarcieSouthern: that is no Python baby https://t.co/rssGgThnPM;Mon Aug 08 19:05:03 +0000 2016;;0.0;0.0;megsiew;MCR;en;1829.0;True;16666.0;51.7506898;-1.25311198253273;
Straight talk about big data https://t.co/skiRMOA48E;Mon Aug 08 19:05:04 +0000 2016;;0.0;0.0;AccessOneInc;Chicago, IL;en;115.0;True;789.0;41.8755546;-87.6244211;
RT @techjunkiejh: #SQL engines boost #Hadoop query processing for #bigdata users https://t.co/fFKqcCahNA https://t.co/x6bLVO3lui;Mon Aug 08 19:05:07 +0000 2016;;0.0;0.0;shakamunyi;San Francisco, CA;en;3051.0;True;103687.0;37.7792808;-122.4192362;#SQL #Hadoop #bigdata
"RT @ComEd: New year, new race, new time to shine! Don’t miss our future innovators spark a change! #IceboxDerby #HelpGirlsShine
https://t.c…";Mon Aug 08 19:05:07 +0000 2016;;0.0;0.0;ISEIFoundation;Chicago, IL;en;709.0;True;1232.0;41.8755546;-87.6244211;#IceboxDerby #HelpGirlsShine
Interested in this job? #Hadoop Data Analyst /  Scientist - Longueuil, QC in Longueuil, QC Canada https://t.co/Rv6JMmJZeO #job #hadoop;Mon Aug 08 19:05:09 +0000 2016;;0.0;0.0;DavangPatel;Montreal, Quebec;en;388.0;True;7495.0;45.5087928;-73.5539819;#Hadoop #job #hadoop
What you missed in #BigData: New ways of managing information https://t.co/btTwIX2ZLQ via @siliconangle;Mon Aug 08 19:05:10 +0000 2016;;0.0;0.0;Awilliamson_WI;Wisconsin;en;290.0;True;398.0;44.4308975;-89.6884636;#BigData:
RT @DarcieSouthern: that is no Python baby https://t.co/rssGgThnPM;Mon Aug 08 19:05:22 +0000 2016;;0.0;0.0;_Francesca97;chorley;en;879.0;True;8641.0;53.6531979;-2.6294741;
"Notice of Participation of Additional NIH Institutes and Centers in RFA-MD-16-002 ""NIH #BigData to Knowled... https://t.co/iS0Zfci9Va";Mon Aug 08 19:05:27 +0000 2016;;0.0;0.0;govtraqfed;Portland, OR;en;90.0;False;41626.0;45.5202471;-122.6741948;#BigData
#BigData  And The Emergence Of The Chief Data Officer - @Forbes  https://t.co/L5N2n5qFMH;Mon Aug 08 19:05:28 +0000 2016;;0.0;0.0;66owls;Dundee, UK;en;2923.0;False;9897.0;56.4593653;-2.9735212;#BigData
5 Steps to Boosting Big Data's Value through Data Governance ... - Enterprise Apps Today https://t.co/a0FOKQFHtk #bigdata;Mon Aug 08 19:05:28 +0000 2016;;0.0;0.0;GetLevvel;Charlotte, NC;en;670.0;False;3983.0;35.2270869;-80.8431267;#bigdata
How Does Big Data Benefit Marketing | #advertising #searchmarketing #datanalytics #marketing #b2b https://t.co/oKvYK1Tlqx;Mon Aug 08 19:05:32 +0000 2016;;0.0;0.0;Jay52_TX;Dallas, TX;en;10175.0;False;15592.0;32.7762719;-96.7968558;#advertising #searchmarketing #datanalytics #marketing #b2b
RT @Ronald_vanLoon: Big data and machine learning is the glass half empty? | #BigData #MachineLearning #RT https://t.co/0Qm3UTzoq2 https://…;Mon Aug 08 19:05:33 +0000 2016;;0.0;0.0;renato_umeton;Cambridge, MA;en;709.0;True;27792.0;42.3750997;-71.1056156;#BigData #MachineLearning #RT
What Does the VC Investment Slowdown Mean for Big Data? https://t.co/cI84pNj6xC https://t.co/3yE1LFko6d;Mon Aug 08 19:05:36 +0000 2016;;0.0;0.0;InvestNebraska;Lincoln, Nebraska;en;805.0;True;505.0;40.7999998;-96.6678212;
As a big fan of both bad reality TV and data driven alcohol consumption, I decided to make(and play) a drinking… https://t.co/uc9D8xvTNE;Mon Aug 08 19:05:40 +0000 2016;;0.0;0.0;BenDover0306;North America ;en;619.0;False;25861.0;51.0000002;-109.0000001;
RT @pkmngoasvines: Blanche, Candela and Spark  https://t.co/DgsvPGp6ED;Mon Aug 08 19:05:42 +0000 2016;;0.0;0.0;evil_queen69;Челябинск;ru;915.0;True;59394.0;55.1598408;61.4025547;
"SPARK Scholar Vincent Truong optimized GMP-quality lentiviral vector for treatment of Tay-Sachs &amp; Sandhoff Disease https://t.co/ja3hHTrkg8";Mon Aug 08 19:05:49 +0000 2016;;0.0;0.0;yggdrasil13751;Davis, CA;en;1535.0;False;16858.0;38.545379;-121.7445834;
"""Hadoop Cloud Solutions Wave 2016"" https://t.co/JcW5dSXvKL #coloradotech #feedly";Mon Aug 08 19:06:00 +0000 2016;;0.0;0.0;scottpantall;Littleton, CO;en;2247.0;True;45051.0;39.613321;-105.0166497;#coloradotech #feedly
Extracting extension from filename in Python #python #filenames https://t.co/CcDFX4CP8D;Mon Aug 08 19:06:01 +0000 2016;;0.0;0.0;PythonQnA;Bengaluru, India;en;121.0;False;10326.0;12.9791198;77.5912997;#python #filenames
How to Combine the Science of Data with the Art of Storytelling to Create Meaningful Customer Experiences https://t.co/K2ss4RuaV0 via @con…;Mon Aug 08 19:06:04 +0000 2016;;0.0;0.0;BlazeEngine;Seattle, WA;en;1423.0;False;1746.0;47.6038321;-122.3300623;
Cartoon: Facebook data science experiments and Cats In honor of International Cat Day, we revisit KDnuggets cartoo… https://t.co/EArqLBVulF;Mon Aug 08 19:06:04 +0000 2016;;0.0;0.0;programmingncr;Gurgaon, Haryana, India;en;582.0;False;108637.0;28.4646148;77.0299194;
The revolution begins with a slow simmering spark! https://t.co/eTD3BSGJFK;Mon Aug 08 19:06:14 +0000 2016;;0.0;0.0;TyPerry65;Woodstock CT;en;20.0;False;33.0;39.1584456;-75.5490913;
Big Data And The Emergence Of The Chief Data Officer https://t.co/Kxicu0U2NB;Mon Aug 08 19:06:14 +0000 2016;;0.0;0.0;darylelockhart;Charlotte, NC;en;8480.0;True;341251.0;35.2270869;-80.8431267;
Big Data Architect Business Intelligence Architect Jobs #jobs #jobsearch https://t.co/MvA0uoZLo0;Mon Aug 08 19:06:14 +0000 2016;;0.0;0.0;careersiftdal;United States;en;482.0;False;37163.0;39.7837304;-100.4458824;#jobs #jobsearch
RT @snowplowdata: We are hiring a data engineer at Snowplow: https://t.co/iWUPIzcX8J Lots of Scala, Golang, Spark, Kinesis... https://t.co/…;Mon Aug 08 19:06:14 +0000 2016;;0.0;0.0;oyayla_;Berlin, Germany;en;130.0;True;1301.0;52.5170365;13.3888599;
RT @DarcieSouthern: that is no Python baby https://t.co/rssGgThnPM;Mon Aug 08 19:06:18 +0000 2016;;0.0;0.0;BigHeadBastardo;Xinjiang, People's Republic of China;en;2320.0;False;67302.0;41.5;85.5;
RT @techjunkiejh: #SQL engines boost #Hadoop query processing for #bigdata users https://t.co/fFKqcCahNA https://t.co/x6bLVO3lui;Mon Aug 08 19:06:30 +0000 2016;;0.0;0.0;cjiqbal;Altrincham;en;6058.0;True;75304.0;53.3839662;-2.3525462;#SQL #Hadoop #bigdata
machinelearnbot: Spark For Python Developers here  https://t.co/JrTpAme9cg #bigdata machinelearnbot;Mon Aug 08 19:06:33 +0000 2016;;0.0;0.0;vikasjee;Pune, India;en;2983.0;True;249231.0;18.64395815;73.9325681901252;#bigdata
Databricks Bi-Weekly Digest – 8/8/16 https://t.co/mhbt0QQAMN #databricks #apache #spark;Mon Aug 08 19:06:37 +0000 2016;;0.0;0.0;bradhugg;Denver Metro ;en;650.0;False;3592.0;14.6876931;121.1093133;#databricks #apache #spark
RT @Ronald_vanLoon: Big data and machine learning is the glass half empty? | #BigData #MachineLearning #RT https://t.co/0Qm3UTzoq2 https://…;Mon Aug 08 19:06:40 +0000 2016;;0.0;0.0;bpointer212;Lansing,  Michigan ;en;3255.0;False;28978.0;42.7337712;-84.5553804;#BigData #MachineLearning #RT
RT @fundacioncd: Burn the talent churn using Big Data - The Globe and Mail https://t.co/VCYEo0ubxp #bigdata;Mon Aug 08 19:06:41 +0000 2016;;0.0;0.0;itknowingness;Online;es;9669.0;False;231555.0;40.3636878;49.8197189;#bigdata
Lemme spark this jay y'all too much 😂;Mon Aug 08 19:06:43 +0000 2016;;0.0;0.0;_BinoJames;The Booth ;en;857.0;True;20850.0;53.7432484;-1.938557;
"Manovich is wrong about Python &amp; right about reading compsci papers &amp; exploring image recognition algorithms 
https://t.co/9dE29hzDtl";Mon Aug 08 19:06:44 +0000 2016;;0.0;0.0;hautepop;London;en;3558.0;False;40340.0;51.5073219;-0.1276473;
